FID,X,Y,Ano
430,-74.07211016,4.674396356,2010
431,-74.14909918,4.538880183,2010
432,-74.14154767,4.538804497,2010
433,-74.08925994,4.693891691,2010
434,-74.08362685,4.599761057,2010
435,-74.0911948,4.604779164,2010
436,-74.13201434,4.617722548,2010
437,-74.11533276,4.714971544,2010
438,-74.05912838,4.667738823,2010
439,-74.14008978,4.535464923,2010
440,-74.09085641,4.697658801,2010
441,-74.11445189,4.509622029,2010
442,-74.14782029,4.534542357,2010
443,-74.10451766,4.708846007,2010
444,-74.11133327,4.717345291,2010
445,-74.09841731,4.707893927,2010
446,-74.10472874,4.713668951,2010
447,-74.10047979,4.61389478,2010
448,-74.1009067,4.614118574,2010
449,-74.12799274,4.635305256,2010
450,-74.08241432,4.600220922,2010
451,-74.08305438,4.600608916,2010
452,-74.11298801,4.603217898,2010
453,-74.08196091,4.577224179,2010
454,-74.10119569,4.717540627,2010
455,-74.21385976,4.613913986,2010
456,-74.11461388,4.505821802,2010
457,-74.11700281,4.507512585,2010
458,-74.10173429,4.496591873,2010
459,-74.09641273,4.715280093,2010
460,-74.09593349,4.715154458,2010
461,-74.07070751,4.580718304,2010
462,-74.0746314,4.728039,2010
463,-74.08517255,4.74727876,2010
464,-74.0307582,4.758861286,2010
465,-74.09226757,4.722918693,2010
466,-74.06963413,4.722149283,2010
467,-74.12988415,4.740205091,2010
468,-74.08096912,4.606938109,2010
469,-74.16249495,4.639724256,2010
470,-74.12054081,4.558232322,2010
471,-74.0834582,4.595406515,2010
472,-74.0745977,4.645445536,2010
473,-74.20430603,4.621929037,2010
474,-74.15537429,4.632587685,2010
475,-74.14413682,4.676239127,2010
476,-74.13402695,4.702637387,2010
477,-74.06605225,4.633412514,2010
478,-74.1363795,4.553250947,2010
479,-74.0800705,4.610800959,2010
480,-74.07034853,4.590578912,2010
481,-74.10667116,4.634372048,2010
482,-74.022257,4.741145938,2010
483,-74.1801688,4.598116052,2010
484,-74.1023447,4.563026416,2010
485,-74.07307188,4.604462221,2010
486,-74.15214475,4.647829368,2010
487,-74.08435338,4.600292006,2010
488,-74.148,4.557512155,2010
489,-74.02163272,4.762692803,2010
490,-74.10502324,4.671321086,2010
491,-74.1168286,4.660012982,2010
492,-74.17510503,4.614266127,2010
493,-74.18021522,4.629922585,2010
494,-74.17874372,4.57981131,2010
495,-74.06441467,4.620874487,2010
496,-74.09863191,4.555549611,2010
497,-74.15803279,4.63349895,2010
498,-74.10799082,4.564648284,2010
499,-74.10799455,4.564050877,2010
500,-74.09922719,4.55258437,2010
501,-74.16514079,4.625397446,2010
502,-74.12331902,4.571564892,2010
503,-74.14157191,4.593661979,2010
504,-74.12316704,4.568097012,2010
505,-74.11512307,4.564680475,2010
506,-74.14268003,4.590461525,2010
507,-74.1485556,4.589102179,2010
508,-74.14197854,4.588500593,2010
509,-74.14817585,4.586993601,2010
510,-74.11633181,4.543484586,2010
511,-74.11886624,4.544259177,2010
512,-74.11492205,4.543163531,2010
513,-74.11277136,4.540813734,2010
514,-74.12744535,4.558718602,2010
515,-74.17730115,4.619236701,2010
516,-74.14119077,4.562566496,2010
517,-74.14364621,4.56597596,2010
518,-74.14559608,4.559814308,2010
519,-74.11668886,4.520470107,2010
520,-74.1760336,4.576591292,2010
521,-74.13392892,4.721116284,2010
522,-74.14805647,4.540210713,2010
523,-74.14736352,4.538000103,2010
524,-74.16970115,4.570753276,2010
525,-74.15541756,4.636247924,2010
526,-74.13386347,4.72096354,2010
527,-74.0593057,4.620864663,2010
528,-74.11420609,4.697882647,2010
529,-74.11413996,4.697989924,2010
530,-74.11356858,4.697640069,2010
531,-74.20800207,4.635196391,2010
532,-74.06144211,4.663170357,2010
533,-74.04098911,4.774581202,2010
534,-74.07103685,4.654402859,2010
535,-74.0977375,4.687158251,2010
536,-74.07170445,4.606656078,2010
537,-74.1806313,4.614120751,2010
538,-74.07368953,4.587979505,2010
539,-74.11440943,4.509781085,2010
540,-74.01726977,4.734530779,2010
541,-74.01648658,4.735646477,2010
542,-74.11557057,4.512998588,2010
543,-74.06434638,4.606611558,2010
544,-74.06686063,4.59890772,2010
545,-74.08231804,4.59277163,2010
546,-74.09332321,4.57711415,2010
547,-74.08206586,4.593184999,2010
548,-74.08030063,4.595980285,2010
549,-74.13872126,4.678239746,2010
550,-74.11638631,4.703257872,2010
551,-74.11407384,4.708644857,2010
