NOMBRE SEDE	sector	s11Y2016	eval_puntaje	Tipo de educación	DIRECCIÓN	Latitud	Longitud	Localidad	texto
CENT EDUC NAL PILOTO BAVARIA	OFICIAL	131	2568321	TRADICIONAL	KR 8 C 163 B 20	4.740008333	-74.02775833	USAQUEN	C101
CENT EDUC DIST SIMON BOLIVAR	OFICIAL	136	2518088	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 91 143 63	4.741163889	-74.08460556	SUBA	C102
COL NAL CLEMENCIA DE CAYCEDO	OFICIAL	174	2567011	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 32 22 30 SUR	4.580733333	-74.11436111	RAFAEL URIBE	C103
COL DEPT INTEGRADO FONTIBON	OFICIAL	177	2505311	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	AK 106 18 77	4.678236111	-74.14745	FONTIBON	C104
COL DIST GUILLERMO LEON VALENCIA	OFICIAL	258	2578062	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	KR 24 B 16 03 SUR	4.588463889	-74.10218889	ANTONIO NARIÑO	C105
COL DIST TOMAS CARRASQUILLA	OFICIAL	220	2668045	TRADICIONAL	CL 74 A 63 04	4.675669444	-74.08001944	BARRIOS UNIDOS	C106
CENT EDUC DIST ALVARO GOMEZ HURTADO	OFICIAL	163	261362	TRADICIONAL	KR 100 A 130 18	4.730763889	-74.09655833	SUBA	C107
CENT EDUC DIST ANTONIO VAN UDEN	OFICIAL	172	260	TRADICIONAL	CL 17 D 123 B 26	4.689013889	-74.15860833	FONTIBON	C108
CENT EDUC DIST RUFINO JOSE CUERVO	OFICIAL	126	265873	TRADICIONAL	KR 12 52 20 SUR	4.559313889	-74.12504167	TUNJUELITO	C109
CENT EDUC DIST FLORENTINO GONZALEZ	OFICIAL	142	2599296	TRADICIONAL	KR 5 A 30 A 45 SUR	4.567288889	-74.08511667	SAN CRISTOBAL	C110
CENT EDUC DIST BRAVO PAEZ	OFICIAL	116	2653017	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 37 SUR 23 51	4.579866667	-74.11925	RAFAEL URIBE	C111
COL MARIA CANO (NIS EDUC DIST)	OFICIAL	131	2651679	TRADICIONAL	KR 12 G 22 B 51 SUR	4.578922222	-74.10182222	RAFAEL URIBE	C112
CENT EDUC DIST ANTONIO BARAYA	OFICIAL	76	2674868	TRADICIONAL	CL 27 SUR 22 A 02	4.583908333	-74.100825	ANTONIO NARIÑO	C113
COL DIST REP DE PANAMA	OFICIAL	49	2578571	TRADICIONAL	KR 57 A 74 A 32	4.672938889	-74.07731667	BARRIOS UNIDOS	C114
CENT EDUC DIST GUILLERMO LEON VALENCIA	OFICIAL	31	2724194	TRADICIONAL	KR 93 A 75 B 80	4.704283333	-74.10856667	ENGATIVA	C115
CENT EDUC DIST REP DE VENEZUELA	OFICIAL	47	2705957	TRADICIONAL	CL 22 A 18 B 42	4.615208333	-74.07941111	LOS MARTIRES	C116
CENT EDUC DIST QUIROGA ALIANZA	OFICIAL	66	2722879	TRADICIONAL	KR 23 34 20 SUR	4.579802778	-74.11706111	RAFAEL URIBE	C117
CENT EDUC DIST EDUARDO SANTOS	OFICIAL	51	2748627	TRADICIONAL	KR 19 A BIS 1 A 55	4.594155556	-74.09340278	LOS MARTIRES	C118
COL DIST MARIANO OSPINA PEREZ	OFICIAL	82	2723171	TRADICIONAL	CLL. 59C NO.69A-16	4.674255556	-74.10218611	ENGATIVA	C119
CENT EDUC DIST RODRIGO ARENAS BETANCOURT	OFICIAL	148	2704122	TRADICIONAL	AK 97 16 J 15	4.670783333	-74.14498611	FONTIBON	C120
CEDIT FRANCISCO DE PAULA SANTANDER	OFICIAL	134	2739254	PROGRAMA PARA JÓVENES EN EXTRAEDAD Y ADULTOS & TRADICIONAL	CL 23 SUR 27 27	4.589963889	-74.11043333	ANTONIO NARIÑO	C121
CENT EDUC DIST ALEJANDRO OBREGON	OFICIAL	140	2715714	TRADICIONAL	CL 30 SUR 15 45	4.576461111	-74.10868611	RAFAEL URIBE	C122
COL DIST BENJAMIN HERRERA	OFICIAL	146	273589	TRADICIONAL	KR 51 A 26 38 SUR	4.603327778	-74.12394167	PUENTE ARANDA	C123
CENT EDUC DIST EL JAZMIN	OFICIAL	149	2698054	TRADICIONAL	 CL 2 BIS 44 13	4.610102778	-74.11490833	PUENTE ARANDA	C124
