IDESTABLEC,HORARIO,DIRECCI,NOMBRE_DEL,TIPO_DE_ES,BARRIO,NOMBRE_D_1,POINT_X,POINT_Y
159148,NOCTURNO,CL 22  100 93,CASA ASTORIA (Wiskeria show roca bar),Expendio de bebidas alcoholicas.,Fontibin,Fontibin,-74.14179266,4.676206212
1310146,SIN INFORMACION,Kr 72  64C 45,WISKERIA VIDEO BAR PUNTO 64 (Tentaciones),Venta de licores.,El encanto,Engativa,-74.10076123,4.675229322
1312159,NOCHE,Cl 72  63 08,FUENTE DE SODA MANANTIAL SHOW,Venta y consumo de licores a la mesa,Las Ferias,Engativa,-74.0826966,4.674615372
13107,NOCTURNO,Cl 72  63 22,WISKERIA BAR RUMBA 2000,Venta y consumo de licores,Ferias,Engativa,-74.0826725,4.6745778
14240,NOCTURNO,KR 15  88 33,HIGH CLASS IN A,Venta de licores,El Chico,Chapinero,-74.05298278,4.673001509
1313137,DIA/NOCHE,KR 31  70A  45,PLAY GIRLS (Chicas VIP),Bar.,Alcazares,Barrios Unidos,-74.07321844,4.663998287
1312144,DIA/NOCHE,KR 26  71B 61,SCORT FANTASIAS (Girls Angelicales),Sala de video.,Alcazares,Barrios Unidos,-74.06837668,4.663457302
131235,NOCTURNO,KR 21  66 99,LOS HELECHOS,Venta de licores.,7 de agosto,Barrios Unidos,-74.06846954,4.657145638
131252,SIN INFORMACION,CL 67  21 15 / 27,WISKERIA BRUMAS 2000 (Rumba dos),Wiskeria.,7 de agosto,Barrios Unidos,-74.06859845,4.657170538
131237,DIA/NOCHE,KR 21  66 87,LA SOMBRITA,Expendio de licores,7 de agosto,Barrios Unidos,-74.06863623,4.657089235
131398,DIA/NOCHE,KR 17  51 54,RESIDENCIAS GALERIAS (Bar Galerias) (Hostal de la carrera 17),Residencias,Galerias,Teusaquillo,-74.06931423,4.639478748
1313100,DIA/NOCHE,AC 32  15 45,ROMANOS CLUB,Sala de proyecci4n,Teusaquillo,Teusaquillo,-74.07149754,4.620675054
163109,DIA/NOCHE,Kr 8  19 33 P1 (No se visualiza la placa),VIDEO  SHOW,ExhibiciHn de filmes,Nieves,Santafe,-74.07222849,4.606238418
1313136,DIA/NOCHE,CL 36  17A 44,STARS CLASS (Golden girls),Bar,Teusaquillo,Teusaquillo,-74.07259224,4.625363207
16396,DIA/NOCHE,Kr 12  22 20,VIDEO BAR ALEJANDRA'S,Venta de licores,Alameda,Santafe,-74.07273092,4.609439684
163228,DIA/NOCHE,Kr 13  23 30,LA UNION,Hostal,Alameda,Santafe,-74.07276529,4.610641375
163226,DIA/NOCHE,Kr 13  20 94,RESIDENCIAS CUATRO ESQUINAS,Residencia,Alameda,Santafe,-74.0737035,4.609648311
163221,DIA/NOCHE,Kr 12  20 47,HOSPEDAJE ERAMA,Hospedaje,Alameda,Santafe,-74.07371764,4.608708563
163225,DIA/NOCHE,Kr 13  20 92,EL TAUR,Hospedaje,Alameda,Santafe,-74.07374993,4.609592536
163219,DIA/NOCHE,Kr 12  20 31,HOSTAL PAR VENEZO,Hospedaje,Alameda,Santafe,-74.07379232,4.608566661
163218,DIA/NOCHE,Kr 12  20 17,HOSTAL ALIMA,Alojamiento,Alameda,Santafe,-74.07383284,4.608505957
163114,DIA/NOCHE,Kr 9  16 62,PENTAGONO,Club,Veracruz,Santafe,-74.07405177,4.604058308
163243,DIA/NOCHE,Kr 13A  20 80,HOSPEDAJE DANDY,Residencia,Alameda,Santafe,-74.07460143,4.609867395
163248,DIA/NOCHE,Kr 13A  20 74,RESIDENCIA SUPER N,Hospedaje,Alameda,Santafe,-74.07463312,4.609733384
163241,DIA/NOCHE,Kr 13A  20 70,HOSPEDAJE 20/70,Hospedaje,Alameda,Santafe,-74.07470871,4.609635915
163240,DIA/NOCHE,Kr 13A  20 56,HOSPEDAJE LOZANO,Hospedaje,Alameda,Santafe,-74.07475298,4.609573923
163239,DIA/NOCHE,Kr 13A  20 54,HOSPEDAJE BRISAS DEL MAR,Hospedaje,Alameda,Santafe,-74.07480161,4.609513822
163246,DIA/NOCHE,Kr 13A  20 91,HOSPEDAJE SPRINT,Hospedaje,Alameda,Santafe,-74.07483672,4.610048981
1114140,DIA/NOCHE,KR 15  23 48,CLUB INTERNACIONAL LA PISCINA (Noche),Club,Santafe,Martires,-74.07486452,4.61234081
1114280,DIA/NOCHE,CL 24  15 11/15,POSADA ANDAGOYA,Servicio de alojamiento y hospedaje.,Santafe,Martires,-74.07487085,4.612897528
