OBJECTID,X,Y,Anio
12964,-74.08107473,4.603232544,2010
12966,-74.10452788,4.599233975,2010
12967,-74.06010272,4.741919884,2010
12968,-74.20126444,4.602551522,2010
12969,-74.1138742,4.504999942,2010
12970,-74.14697875,4.62459337,2010
12972,-74.10072845,4.587504986,2010
12973,-74.07221749,4.600914564,2010
12974,-74.07806991,4.64256984,2010
12975,-74.02599323,4.741752963,2010
12976,-74.16302701,4.60292312,2010
12977,-74.05861991,4.65736209,2010
12978,-74.05685622,4.658437625,2010
12979,-74.0974181,4.622794031,2010
12981,-74.12689681,4.566741619,2010
12982,-74.06217266,4.684398122,2010
12983,-74.09386931,4.680583059,2010
12984,-74.07475796,4.630407619,2010
12985,-74.03282859,4.713103468,2010
12986,-74.14391063,4.673226385,2010
12987,-74.02438153,4.736314946,2010
12988,-74.07012231,4.604484064,2010
12989,-74.05300182,4.726077454,2010
12990,-74.07627922,4.642332631,2010
12992,-74.10624369,4.657330589,2010
12993,-74.18524978,4.62104589,2010
12994,-74.06298306,4.632501465,2010
12995,-74.1514683,4.546441838,2010
12996,-74.0801538,4.674918015,2010
12997,-74.11326179,4.576901424,2010
12998,-74.06579339,4.614011926,2010
12999,-74.13998187,4.674018741,2010
13000,-74.07049963,4.658551918,2010
13001,-74.15820761,4.599843382,2010
13003,-74.04647559,4.677208141,2010
13009,-74.07243738,4.608991,2010
13010,-74.06570633,4.636280747,2010
13011,-74.14140063,4.53766788,2010
13012,-74.19017376,4.600788304,2010
13013,-74.08092817,4.594972131,2010
13014,-74.13694013,4.652231472,2010
13016,-74.10691876,4.675627966,2010
13017,-74.18509845,4.623241396,2010
13018,-74.11382627,4.54442527,2010
13019,-74.07466735,4.724434703,2010
13023,-74.09279275,4.571239171,2010
13024,-74.06599581,4.634289395,2010
13027,-74.10975059,4.686323818,2010
13028,-74.17211894,4.616968707,2010
13030,-74.05667761,4.671456618,2010
13031,-74.04669938,4.684581906,2010
13033,-74.11691989,4.695873712,2010
13034,-74.07688799,4.602691408,2010
13035,-74.08610371,4.630638745,2010
13036,-74.1190272,4.594842796,2010
13039,-74.10213726,4.616742494,2010
13040,-74.11842637,4.567774422,2010
13041,-74.06809041,4.618846507,2010
13042,-74.10023241,4.657203434,2010
