OBJECTID_1	Nombre	Direccion	Caracter	POINT_X	POINT_Y
647	SALON COMUNAL BARRIO LOS HUERTOS	No Disponible	PRIV	-74177991763199900	4589218984800000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159113071700000	4615583936350000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159197871800000	4615722640840000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159185147700000	4615730239860000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159165984099900	4615699607190000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159088549900000	4615745851850000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159069387100000	4615715218280000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74158991952899900	4615761462930000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74158944045699900	4615684880280000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159021479100000	4615638636520000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159098913400000	4615592391870000
764	SALON COMUNAL SANTA MARTHA DE PASTRANA	TV 77 A 41 G 47	PUBL	-74159113071700000	4615583936350000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063867927600000	4602265818490000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063712456800000	4602157777680000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063633277999900	4602114649190000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063532028799900	4602076580190000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063473745099900	4602071058400000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063428882799900	4602074759360000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063408978699900	4602044565150000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063409254899900	4601993040090000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063450098499900	4601927762630000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063590675900000	4601698268250000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063593985599900	4601667462080000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063626500900000	4601632437870000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063733901899900	4601716406400000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74064086780500000	4601952809200000
776	CASA SEDE DE LA SOCIEDAD BOLIVARIANA DE COLOMBIA	AC 20 5 17 ESTE	PUBL	-74063867927600000	4602265818490000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087786243799900	4585974730020000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087834004000000	4585892586640000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087859073199900	4585907691900000
782	SALON COMUNAL BARRIO POLICARPA SALAVARRIETA	CL 3 SUR 10 17	PRIV	-74087997963000000	4585985568340000
